model_name,adapter,adapter_config,column_name,auc_score,date
yiyanghkust/finbert-tone,True,"LoRAConfig(architecture='lora', selfattn_lora=True, intermediate_lora=False, output_lora=False, leave_out=[], r=8, alpha=8, dropout=0.0, attn_matrices=['q', 'v'], composition_mode='add', init_weights='lora', use_gating=False)",AnalystNoteList,0.5909703228966813,2024-04-22
nickmuchi/sec-bert-finetuned-finance-classification,True,"LoRAConfig(architecture='lora', selfattn_lora=True, intermediate_lora=False, output_lora=False, leave_out=[], r=8, alpha=8, dropout=0.0, attn_matrices=['q', 'v'], composition_mode='add', init_weights='lora', use_gating=False)",AnalystNoteList,0.5819896313834347,2024-04-22
distilbert/distilbert-base-uncased-finetuned-sst-2-english,True,"LoRAConfig(architecture='lora', selfattn_lora=True, intermediate_lora=False, output_lora=False, leave_out=[], r=8, alpha=8, dropout=0.0, attn_matrices=['q', 'v'], composition_mode='add', init_weights='lora', use_gating=False)",AnalystNoteList,0.5716414254806711,2024-04-23
nickmuchi/deberta-v3-base-finetuned-finance-text-classification,True,"LoRAConfig(architecture='lora', selfattn_lora=True, intermediate_lora=False, output_lora=False, leave_out=[], r=8, alpha=8, dropout=0.0, attn_matrices=['q', 'v'], composition_mode='add', init_weights='lora', use_gating=False)",AnalystNoteList,0.541698983549006,2024-04-22
bardsai/finance-sentiment-pl-fast,True,"LoRAConfig(architecture='lora', selfattn_lora=True, intermediate_lora=False, output_lora=False, leave_out=[], r=8, alpha=8, dropout=0.0, attn_matrices=['q', 'v'], composition_mode='add', init_weights='lora', use_gating=False)",AnalystNoteList,0.5207168224680573,2024-04-22
ahmedrachid/FinancialBERT-Sentiment-Analysis,True,"LoRAConfig(architecture='lora', selfattn_lora=True, intermediate_lora=False, output_lora=False, leave_out=[], r=8, alpha=8, dropout=0.0, attn_matrices=['q', 'v'], composition_mode='add', init_weights='lora', use_gating=False)",AnalystNoteList,0.5177164550761317,2024-04-23
RashidNLP/Finance-Sentiment-Classification,True,"LoRAConfig(architecture='lora', selfattn_lora=True, intermediate_lora=False, output_lora=False, leave_out=[], r=8, alpha=8, dropout=0.0, attn_matrices=['q', 'v'], composition_mode='add', init_weights='lora', use_gating=False)",AnalystNoteList,0.5164305833367351,2024-04-23
siebert/sentiment-roberta-large-english,True,"LoRAConfig(architecture='lora', selfattn_lora=True, intermediate_lora=False, output_lora=False, leave_out=[], r=8, alpha=8, dropout=0.0, attn_matrices=['q', 'v'], composition_mode='add', init_weights='lora', use_gating=False)",AnalystNoteList,0.5133281626321591,2024-04-23
bardsai/finance-sentiment-pl-fast,True,"LoRAConfig(architecture='lora', selfattn_lora=True, intermediate_lora=False, output_lora=False, leave_out=[], r=8, alpha=8, dropout=0.0, attn_matrices=['q', 'v'], composition_mode='add', init_weights='lora', use_gating=False)",AnalystNoteList,0.5090827448258971,2024-04-22
ProsusAI/finbert,True,"LoRAConfig(architecture='lora', selfattn_lora=True, intermediate_lora=False, output_lora=False, leave_out=[], r=8, alpha=8, dropout=0.0, attn_matrices=['q', 'v'], composition_mode='add', init_weights='lora', use_gating=False)",AnalystNoteList,0.495162672980365,2024-04-23
kwang123/bert-sentiment-analysis,True,"LoRAConfig(architecture='lora', selfattn_lora=True, intermediate_lora=False, output_lora=False, leave_out=[], r=8, alpha=8, dropout=0.0, attn_matrices=['q', 'v'], composition_mode='add', init_weights='lora', use_gating=False)",AnalystNoteList,0.4903661672857901,2024-04-23
